method,id,name,n,meanMm,p95Mm
6. Laplace field,6,Basal Anterolateral,1886,2.6854183673858643,3.1243386268615723
6. Laplace field,7,Mid Anterior,2084,2.6430397033691406,3.1243386268615723
6. Laplace field,8,Mid Anteroseptal,2003,2.5113229751586914,2.675917387008667
6. Laplace field,9,Mid Inferoseptal,1729,2.480262279510498,2.63877272605896
6. Laplace field,10,Mid Inferior,2037,2.8481345176696777,4.250361442565918
6. Laplace field,11,Mid Inferolateral,2199,5.722283363342285,13.11063289642334
6. Laplace field,12,Mid Anterolateral,1669,5.859513282775879,12.83414363861084
6. Laplace field,13,Apical Anterior,1564,2.6633331775665283,2.7141594886779785
6. Laplace field,14,Apical Septal,1348,2.5440075397491455,2.6172051429748535
6. Laplace field,15,Apical Inferior,1609,6.146480083465576,12.087818145751953
6. Laplace field,16,Apical Lateral,1507,8.754206657409668,14.069143295288086
6. Laplace field,17,Apex,5668,5.00980281829834,11.26230525970459
7. Geodesic Dijkstra,1,Basal Anterior,2519,12.233153343200684,13.125
7. Geodesic Dijkstra,2,Basal Anteroseptal,2650,12.009787559509277,13.125
7. Geodesic Dijkstra,3,Basal Inferoseptal,2624,13.592439651489258,14.6875
7. Geodesic Dijkstra,4,Basal Inferior,2666,12.811445236206055,14.0625
7. Geodesic Dijkstra,5,Basal Inferolateral,2410,11.773469924926758,13.125
7. Geodesic Dijkstra,6,Basal Anterolateral,1886,12.011034965515137,14.6875
7. Geodesic Dijkstra,7,Mid Anterior,2084,9.611924171447754,12.5
7. Geodesic Dijkstra,8,Mid Anteroseptal,2003,10.646530151367188,12.5
7. Geodesic Dijkstra,9,Mid Inferoseptal,1729,10.692416191101074,12.5
7. Geodesic Dijkstra,10,Mid Inferior,2037,8.664396286010742,14.0625
7. Geodesic Dijkstra,11,Mid Inferolateral,2199,4.375,14.0625
7. Geodesic Dijkstra,12,Mid Anterolateral,1669,5.597476005554199,12.5
7. Geodesic Dijkstra,13,Apical Anterior,1564,9.03332805633545,12.5
7. Geodesic Dijkstra,14,Apical Septal,1348,11.24814510345459,12.5
7. Geodesic Dijkstra,15,Apical Inferior,1609,6.222809314727783,9.375
7. Geodesic Dijkstra,16,Apical Lateral,1507,5.431942462921143,10.9375
7. Geodesic Dijkstra,17,Apex,5668,9.857975006103516,12.5
8. SDF cone rays,1,Basal Anterior,2519,6.9692230224609375,8.1074800491333
8. SDF cone rays,2,Basal Anteroseptal,2650,6.140192985534668,8.039186477661133
8. SDF cone rays,3,Basal Inferoseptal,2624,5.6056294441223145,7.251053810119629
8. SDF cone rays,4,Basal Inferior,2666,6.362093925476074,7.690099716186523
8. SDF cone rays,5,Basal Inferolateral,2410,5.909412384033203,7.292784214019775
8. SDF cone rays,6,Basal Anterolateral,1886,5.994932174682617,7.485867023468018
8. SDF cone rays,7,Mid Anterior,2084,6.322788715362549,9.628698348999023
8. SDF cone rays,8,Mid Anteroseptal,2003,6.067964553833008,8.163843154907227
8. SDF cone rays,9,Mid Inferoseptal,1729,6.111713409423828,7.769521713256836
8. SDF cone rays,10,Mid Inferior,2037,5.770267009735107,8.881924629211426
8. SDF cone rays,11,Mid Inferolateral,2199,6.501089096069336,7.562637805938721
8. SDF cone rays,12,Mid Anterolateral,1669,5.979093074798584,6.802346229553223
8. SDF cone rays,13,Apical Anterior,1564,5.917550563812256,10.773811340332031
8. SDF cone rays,14,Apical Septal,1348,5.595096111297607,11.058295249938965
8. SDF cone rays,15,Apical Inferior,1609,5.437632083892822,7.176887512207031
8. SDF cone rays,16,Apical Lateral,1507,5.491038799285889,6.3239898681640625
8. SDF cone rays,17,Apex,5668,4.737478256225586,6.868708610534668
9. Regularized correspondence,1,Basal Anterior,2519,5.607802867889404,6.72945499420166
9. Regularized correspondence,2,Basal Anteroseptal,2650,5.083065032958984,6.5074334144592285
9. Regularized correspondence,3,Basal Inferoseptal,2624,4.440256118774414,6.093535423278809
9. Regularized correspondence,4,Basal Inferior,2666,4.670156478881836,5.907247543334961
9. Regularized correspondence,5,Basal Inferolateral,2410,4.568627834320068,5.64345645904541
9. Regularized correspondence,6,Basal Anterolateral,1886,4.720210552215576,6.1808977127075195
9. Regularized correspondence,7,Mid Anterior,2084,5.292125225067139,6.777528762817383
9. Regularized correspondence,8,Mid Anteroseptal,2003,5.215133190155029,6.700873374938965
9. Regularized correspondence,9,Mid Inferoseptal,1729,5.345913410186768,6.647729873657227
9. Regularized correspondence,10,Mid Inferior,2037,4.784248352050781,5.643883228302002
9. Regularized correspondence,11,Mid Inferolateral,2199,5.671546459197998,6.524351596832275
9. Regularized correspondence,12,Mid Anterolateral,1669,5.203885555267334,5.8010053634643555
9. Regularized correspondence,13,Apical Anterior,1564,4.86973762512207,5.708436012268066
9. Regularized correspondence,14,Apical Septal,1348,4.489569187164307,5.4207940101623535
9. Regularized correspondence,15,Apical Inferior,1609,4.688804626464844,5.437021732330322
9. Regularized correspondence,16,Apical Lateral,1507,4.783268451690674,5.414129734039307
9. Regularized correspondence,17,Apex,5668,3.6327884197235107,4.63015604019165
10. Yezzi-Prince,1,Basal Anterior,2519,12.158478736877441,13.00434684753418
10. Yezzi-Prince,2,Basal Anteroseptal,2650,12.596919059753418,13.10071849822998
10. Yezzi-Prince,3,Basal Inferoseptal,2624,13.970443725585938,14.918221473693848
10. Yezzi-Prince,4,Basal Inferior,2666,13.41602611541748,13.808136940002441
10. Yezzi-Prince,5,Basal Inferolateral,2410,12.429393768310547,13.808136940002441
10. Yezzi-Prince,6,Basal Anterolateral,1886,11.126489639282227,12.513072967529297
10. Yezzi-Prince,7,Mid Anterior,2084,14.707440376281738,14.926429748535156
10. Yezzi-Prince,8,Mid Anteroseptal,2003,12.212541580200195,14.902881622314453
10. Yezzi-Prince,9,Mid Inferoseptal,1729,9.168000221252441,12.731123924255371
10. Yezzi-Prince,10,Mid Inferior,2037,7.906207084655762,12.612494468688965
10. Yezzi-Prince,11,Mid Inferolateral,2199,6.2114033699035645,12.612494468688965
10. Yezzi-Prince,12,Mid Anterolateral,1669,9.817038536071777,14.926429748535156
10. Yezzi-Prince,13,Apical Anterior,1564,14.852356910705566,14.926429748535156
10. Yezzi-Prince,14,Apical Septal,1348,9.966758728027344,14.902881622314453
10. Yezzi-Prince,15,Apical Inferior,1609,9.01933765411377,14.215377807617188
10. Yezzi-Prince,16,Apical Lateral,1507,10.44169807434082,14.98926830291748
10. Yezzi-Prince,17,Apex,5668,13.139351844787598,14.956413269042969
